franchise_make,count
Ford,97004
Chevrolet,80559
Honda,46932
Jeep,45179
Toyota,44167
Nissan,31743
Hyundai,25676
Subaru,24091
Kia,21742
Buick,17224
Volkswagen,15996
RAM,14841
BMW,13378
GMC,12835
Mercedes-Benz,12245
Mazda,11695
Cadillac,9128
Lincoln,8149
Audi,8080
Lexus,7924
Dodge,7845
Acura,7411
Volvo,6931
Mitsubishi,5871
INFINITI,4715
Chrysler,4433
Land Rover,4177
Porsche,2368
MINI,1800
Jaguar,1244
Maserati,962
FIAT,825
Alfa Romeo,824
Scion,680
Bentley,288
Aston Martin,270
Ferrari,268
McLaren,154
Genesis,89
Rolls-Royce,88
Lotus,59
Lamborghini,57
Rover,25
smart,25
Pagani,1
