make_name,count
Ford,90003
Chevrolet,71524
Toyota,45870
Honda,45277
Jeep,39846
Nissan,38054
Hyundai,26359
Subaru,22658
Kia,18066
GMC,17795
RAM,15868
BMW,15775
Mercedes-Benz,15404
Volkswagen,15391
Buick,13255
Dodge,12742
Mazda,11216
Cadillac,9934
Audi,9590
Lexus,8728
Lincoln,8618
Acura,7766
Chrysler,6364
Volvo,6318
INFINITI,5530
Mitsubishi,4446
Land Rover,4034
Porsche,2686
MINI,2095
Jaguar,1928
Alfa Romeo,1337
Maserati,971
Genesis,639
FIAT,566
Pontiac,548
Scion,356
Mercury,343
Saturn,288
Tesla,265
Ferrari,235
Bentley,204
Hummer,152
McLaren,141
Suzuki,135
Saab,133
Aston Martin,111
smart,89
Rolls-Royce,82
Oldsmobile,54
Lamborghini,52
Plymouth,45
Lotus,28
Karma,18
Isuzu,16
MG,11
Freightliner,9
Triumph,6
Fisker,4
Shelby,4
AMC,3
Maybach,2
Austin-Healey,2
Studebaker,1
AM General,1
Hudson,1
Sunbeam,1
Pininfarina,1
Willys,1
Kaiser,1
Spyker,1
Pagani,1
Datsun,1
Geo,1
