power,count
"355 hp @ 5,600 RPM",17726
"138 hp @ 4,900 RPM",15782
"395 hp @ 5,750 RPM",14480
"181 hp @ 6,000 RPM",13759
"170 hp @ 6,000 RPM",13588
"395 hp @ 5,600 RPM",12163
"170 hp @ 5,600 RPM",10871
"190 hp @ 5,600 RPM",10090
"147 hp @ 6,200 RPM",9718
"280 hp @ 6,000 RPM",8859
"360 hp @ 5,150 RPM",8730
"182 hp @ 5,800 RPM",7910
"180 hp @ 6,400 RPM",7888
"185 hp @ 6,000 RPM",7462
"250 hp @ 5,500 RPM",7322
"245 hp @ 5,500 RPM",7307
"295 hp @ 6,400 RPM",6986
"158 hp @ 6,500 RPM",5642
"295 hp @ 6,600 RPM",5517
"187 hp @ 6,000 RPM",5504
"310 hp @ 6,700 RPM",5488
"310 hp @ 6,800 RPM",5482
"166 hp @ 6,000 RPM",5329
"271 hp @ 6,500 RPM",5231
"375 hp @ 5,000 RPM",5053
"152 hp @ 6,000 RPM",4969
"176 hp @ 6,000 RPM",4901
"283 hp @ 6,400 RPM",4740
"160 hp @ 5,700 RPM",4709
"141 hp @ 6,500 RPM",4704
"260 hp @ 6,000 RPM",4058
"252 hp @ 5,500 RPM",4040
"285 hp @ 6,400 RPM",4039
"192 hp @ 5,500 RPM",3783
"240 hp @ 5,500 RPM",3766
"270 hp @ 5,250 RPM",3723
"290 hp @ 6,200 RPM",3714
"132 hp @ 6,000 RPM",3622
"290 hp @ 6,500 RPM",3513
"287 hp @ 6,400 RPM",3474
"277 hp @ 3,750 RPM",3297
"153 hp @ 5,600 RPM",3291
"182 hp @ 6,000 RPM",3203
"175 hp @ 5,800 RPM",3200
"188 hp @ 6,000 RPM",3195
"150 hp @ 5,600 RPM",3194
"420 hp @ 5,600 RPM",3176
"185 hp @ 6,400 RPM",3126
"241 hp @ 5,550 RPM",3019
"172 hp @ 6,000 RPM",2982
"184 hp @ 4,400 RPM",2885
"141 hp @ 6,000 RPM",2848
"290 hp @ 6,400 RPM",2845
"301 hp @ 6,500 RPM",2799
"161 hp @ 6,200 RPM",2731
"170 hp @ 5,800 RPM",2714
"300 hp @ 6,400 RPM",2654
"281 hp @ 6,300 RPM",2648
"181 hp @ 3,400 RPM",2628
"248 hp @ 5,200 RPM",2624
"335 hp @ 5,500 RPM",2548
"310 hp @ 5,500 RPM",2498
"316 hp @ 5,700 RPM",2437
"370 hp @ 2,800 RPM",2426
"147 hp @ 5,000 RPM",2386
"130 hp @ 6,000 RPM",2353
"174 hp @ 6,000 RPM",2256
"308 hp @ 6,600 RPM",2179
"177 hp @ 5,750 RPM",2133
"278 hp @ 6,000 RPM",2019
"255 hp @ 5,800 RPM",2012
"248 hp @ 5,000 RPM",2010
"182 hp @ 6,700 RPM",1981
"208 hp @ 5,500 RPM",1976
"178 hp @ 6,000 RPM",1975
"288 hp @ 6,300 RPM",1951
"300 hp @ 5,800 RPM",1888
"228 hp @ 5,000 RPM",1877
"260 hp @ 3,600 RPM",1810
"122 hp @ 6,300 RPM",1796
"284 hp @ 6,400 RPM",1779
"237 hp @ 5,000 RPM",1759
"164 hp @ 6,200 RPM",1737
"200 hp @ 5,100 RPM",1667
"175 hp @ 5,500 RPM",1656
"280 hp @ 6,500 RPM",1649
"149 hp @ 6,400 RPM",1638
"252 hp @ 5,000 RPM",1608
