sp_name,count
Carvana,2044
Dorian Ford,1231
Motor Werks of Barrington,1004
Dick Huvaere's Richmond Chrysler Dodge Jeep RAM,961
Brunswick Auto Mart,942
Dana Ford Lincoln,942
Danbury Hyundai CDJR Kia,941
Shea Chevrolet Buick GMC,940
Banks Chevrolet Cadillac Buick GMC,937
Quirk Chevrolet,936
Pat Milliken Ford,903
Open Road Honda,859
Boch Honda,857
Feldman Chevrolet of Highland,813
Feldman Chevrolet of Novi,813
Hoselton Chevrolet,808
Ray Skillman Ford,806
DCH Paramus Honda,800
Serra Buick GMC Cadillac Kia,800
Tasca Ford Cranston,770
Dorschel Automotive Group,769
DARCARS Toyota of Silver Spring,765
Auto Spot LLC.,749
Fullerton Auto Group,746
Sundance Chevrolet Buick GMC,736
Serra Ford Rochester Hills,730
Route 46 Chrysler Jeep Dodge,692
Koons Ford of Baltimore,691
Bowser Subaru,686
LaFontaine Cadillac Buick GMC,684
Bayside Chrysler Jeep Dodge,682
Koon's Ford Lincoln Mazda of Silver Spring,669
CarVision Mitsubishi,652
Apollo Auto Sales,648
DCH Kay Honda,647
Golling FIAT Chrysler Dodge Jeep Ram,642
JBA Chevrolet,637
Koch 33 Automotive,630
Irwin Automotive Group,630
Jim Coleman Honda,627
Pugi Downers Grove,627
Conicelli Toyota of Conshohocken,626
Honda North,614
MajorWorld.com,614
Team Nissan,606
Great Lakes Honda,600
Colonial Ford,590
Varsity Lincoln,589
Mercedes-Benz of Rockville Centre,583
Fairway Ford,575
AutoFair Honda in Manchester,565
Koons Westminster Toyota,564
Feldman Chevrolet of New Hudson,563
Martin Mazda,562
Joe Basil Chevrolet,553
Todd Wenzel Buick GMC of Westland,552
Rothrock Motor Sales Chrysler Dodge Jeep Ram,548
Automotive Avenues,548
Mercedes-Benz of Paramus,548
Edison Nissan,546
Honda Of Staten Island,541
DCH Academy Honda,541
Avis Ford Inc,540
Conicelli Hyundai,534
Waikem Auto Family,532
Currie Motors Ford of Valpo,530
Elder Ford of Romeo,530
Elgin Hyundai,525
Stamford Hyundai,525
A Better Way Wholesale,524
ESK Investments dba Northland CDJR,521
Lasco Ford,520
Sweeney Chevrolet Buick GMC,519
East Hills Chrysler Jeep Dodge,518
Imperial Ford,517
Conicelli Honda,511
Matthews-Hargreaves Chevrolet,510
"Jack Madden Ford Sales, Inc.",501
Serra Chevrolet,500
Honda of New Rochelle,500
Koeppel Nissan,500
Fitzgerald Hyundai Subaru of Rockville,496
Pilson Auto Center,495
Apple Ford Lincoln,495
Webb Ford Inc,493
Davis Honda,491
Harold Zeigler Ford,491
Hamilton Chevrolet,491
Lancaster County Motors Subaru,490
Destination KIA,489
Healey Hyundai,489
Lindsay Ford of Wheaton,487
Joe Rizza Ford Lincoln,485
Sellers Automotive Inc.,484
Jerry's Toyota,484
Stamford Ford Lincoln,483
Serpentini Chevrolet of Willoughby Hills,483
Sterling Heights Chrysler Dodge Jeep,481
Ray Chevrolet,481
Tarbox Hyundai,481
"Berlin City Auto Group Gorham, NH",479
Liberty Auto City,478
King Volkswagen,476
Ray Laks Honda of Orchard Park,470
Marina Chrysler Dodge Jeep Ram,470
Nissan of Ramsey,470
Ford & Lincoln of Smithtown,465
Tarrytown Honda,462
Sarat Ford,461
Brondes Ford Lincoln Maumee,459
Hines Park Ford,458
Koons Falls Church Ford,458
All American Ford & Mazda of Point Pleasant,458
Atlantic Chevrolet Cadillac,458
"Schultz Ford Lincoln, Inc.",458
Portsmouth Ford Lincoln,457
Merchants Automotive Group,453
Flagship Motorcars of Lynnfield,451
Expressway Toyota,451
Brighton Ford,450
Saratoga Honda,448
Bob Maxey Ford of Howell,447
George Wall Ford,443
Humes Chrysler Jeep Dodge & RAM,442
Toyota of Hackensack,441
Crest Ford Incorporated,441
AutoFair Ford,441
Woburn Toyota,437
Bill Dube Ford Toyota,433
Phillips Chevrolet of Frankfort,431
Porter Chevrolet,426
Ramsey Volvo,425
Dan O'Brien Kia Concord,425
Toyota of Naperville,424
South Oak Dodge Chrysler Jeep,423
Jaguar Land Rover Glen Cove,421
Diehl of Butler,421
Performance Ford,421
Heritage Honda Westminster,419
Elgin Toyota,418
Bell Ford,416
Mazda of Ramsey,415
Elgin Chrysler Dodge Jeep RAM,415
Hurd Auto Mall,415
Fox Ford Lincoln Chicago,415
Rallye Motors,414
Garber Chevrolet Highland,414
Nick Mayer Ford Lincoln,413
Schumacher Chevrolet of Little Falls,412
Yonkers Kia,411
Flood Ford of East Greenwich,410
Chapman Ford Chrysler Jeep Dodge Ram,410
Rochester Hills Chrysler Jeep Incorporated,410
Castle Chevrolet,409
Taylor Chrysler Dodge Jeep RAM,409
Hyundai of Palatine,408
Simmons Rockwell Chevrolet Buick GMC,404
DCH Ford of Eatontown,404
Heritage Toyota Catonsville,402
Empire Hyundai,401
Habberstad BMW,401
Honda City Chicago,397
Park Ave Acura,397
Lunghamer Buick GMC Inc.,397
Wayne Mazda,397
Willowbrook Ford Kia,396
Ray Laethem Motor Village,396
Mercedes-Benz of Fort Washington,394
Lundgren Honda of Auburn,394
Tom's Ford,393
Gettacar,392
Hawk Ford of Oak Lawn,392
Jones Family of Dealerships,392
Charlie's Chevrolet,781
Auto Outlet,389
Route 46 Nissan,389
Ganley Village Chrysler Dodge Jeep Ram Fiat,387
Advantage Chevrolet Hodgkins,386
Herb Chambers Honda of Seekonk,384
Brigham-Gill Chrysler Jeep Dodge,384
Friendly Ford,383
Dean Sellers Ford Inc,383
J&M Automotive,382
Road Ready Used Cars,382
Castle Chevrolet North of Elk Grove Village,381
Ourisman Honda Of Laurel,759
Avis Car Sales - Chicago,379
Advantage Toyota,379
Honda Cars Of Boston,379
Ingersoll Auto of Danbury,378
Criswell Chrysler Jeep Dodge RAM FIAT,378
St. Charles Chrysler Dodge Jeep Ram,378
Hawk Ford Saint Charles,377
Hank Graff Chevrolet Inc,377
Wayne Hyundai,375
Sport Honda,374
Lambert Buick GMC,374
Wiscasset Ford Inc,373
Herb Chambers Honda in Boston,372
Manchester Honda,372
Auto Lenders Princeton,371
Currie Motors Ford of Frankfort,371
Heritage Honda Bel Air,371
Heritage Hyundai Towson,368
Classic Hyundai,368
Hyundai of South Brunswick,734
Baierl Toyota,367
Bill Page Honda,366
Norris Ford,366
Orleans Ford,365
Wally Armour Chrysler Dodge Jeep,365
Planet Subaru,365
Bergey's Chevrolet,364
M'Lady Nissan,364
Chesrown Chevrolet Buick GMC,363
Heller Motors Inc.,363
"Dave White Chevrolet, Inc.",363
O'Neil Nissan,362
Chrysler Dodge Jeep of Paramus,362
O'Donnell Honda,362
Suburban Subaru,361
Marino Chrysler Jeep Dodge Ram,361
Chevrolet of Milford,360
Toyota of Morristown,359
Jim Shorkey Youngstown Chrysler Jeep Dodge RAM FIAT,359
Gary Rome Hyundai,358
Metro Ford Sales Inc.,358
Rockland Hyundai,356
Art Hill Ford Lincoln Mazda,354
Sansone Jr's,354
"Condor Mt. Kisco, LLC",353
McGee Chevrolet of Raynham,353
Sport Chevrolet,353
Ourisman Hyundai of Bowie,353
Joyce Honda,352
Landmark Honda,350
Kelly Jeep Chrysler,350
Copeland Toyota,349
Star Lincoln,348
DARCARS 355 Toyota,348
