torque,count
"383 lb-ft @ 4,100 RPM",17850
148 lb-ft @ 200 RPM,14835
"175 lb-ft @ 4,400 RPM",12936
"400 lb-ft @ 4,500 RPM",12685
"410 lb-ft @ 3,950 RPM",11784
"132 lb-ft @ 4,500 RPM",10741
"203 lb-ft @ 2,000 RPM",10351
"179 lb-ft @ 2,000 RPM",10132
"390 lb-ft @ 4,250 RPM",9097
"260 lb-ft @ 4,800 RPM",9020
"262 lb-ft @ 4,700 RPM",8867
"275 lb-ft @ 3,000 RPM",8509
"175 lb-ft @ 3,900 RPM",8012
"176 lb-ft @ 4,400 RPM",7961
"175 lb-ft @ 4,000 RPM",7650
"178 lb-ft @ 4,000 RPM",7555
"263 lb-ft @ 4,700 RPM",7305
"260 lb-ft @ 4,400 RPM",7260
"258 lb-ft @ 1,500 RPM",6832
"185 lb-ft @ 4,320 RPM",6093
"138 lb-ft @ 4,200 RPM",5671
"186 lb-ft @ 4,000 RPM",5587
"271 lb-ft @ 4,900 RPM",5503
"295 lb-ft @ 3,000 RPM",5428
"239 lb-ft @ 4,400 RPM",5329
"266 lb-ft @ 2,800 RPM",5255
"267 lb-ft @ 4,700 RPM",5057
"184 lb-ft @ 2,500 RPM",4844
"127 lb-ft @ 4,300 RPM",4723
"172 lb-ft @ 4,100 RPM",4658
"149 lb-ft @ 4,450 RPM",4264
"240 lb-ft @ 4,400 RPM",4230
"145 lb-ft @ 4,200 RPM",4149
"273 lb-ft @ 1,600 RPM",4055
"280 lb-ft @ 3,000 RPM",3971
"192 lb-ft @ 1,500 RPM",3779
"260 lb-ft @ 4,000 RPM",3760
"260 lb-ft @ 2,000 RPM",3646
"262 lb-ft @ 4,000 RPM",3596
"255 lb-ft @ 4,000 RPM",3558
"128 lb-ft @ 4,400 RPM",3532
"195 lb-ft @ 1,500 RPM",3515
"180 lb-ft @ 3,600 RPM",3485
"460 lb-ft @ 1,500 RPM",3336
"174 lb-ft @ 4,000 RPM",3299
"174 lb-ft @ 4,100 RPM",3223
"174 lb-ft @ 1,500 RPM",3191
"181 lb-ft @ 3,900 RPM",3176
"460 lb-ft @ 4,100 RPM",3125
"273 lb-ft @ 1,300 RPM",3046
"221 lb-ft @ 1,600 RPM",3037
"165 lb-ft @ 4,400 RPM",3016
"258 lb-ft @ 1,450 RPM",3004
"147 lb-ft @ 4,400 RPM",2879
"272 lb-ft @ 4,800 RPM",2816
"150 lb-ft @ 4,700 RPM",2796
"369 lb-ft @ 2,000 RPM",2652
"266 lb-ft @ 3,400 RPM",2571
"162 lb-ft @ 1,700 RPM",2554
"184 lb-ft @ 1,400 RPM",2527
"295 lb-ft @ 2,200 RPM",2465
"248 lb-ft @ 4,700 RPM",2449
"850 lb-ft @ 1,700 RPM",2422
"270 lb-ft @ 1,750 RPM",2349
"258 lb-ft @ 1,800 RPM",2280
"151 lb-ft @ 4,000 RPM",2193
"270 lb-ft @ 5,000 RPM",2192
"470 lb-ft @ 3,500 RPM",2145
"145 lb-ft @ 4,000 RPM",2122
"265 lb-ft @ 4,600 RPM",2066
"400 lb-ft @ 2,500 RPM",2066
"172 lb-ft @ 4,900 RPM",2040
"170 lb-ft @ 4,100 RPM",2012
"270 lb-ft @ 4,800 RPM",2006
"273 lb-ft @ 1,800 RPM",2003
"270 lb-ft @ 3,400 RPM",1974
"400 lb-ft @ 3,850 RPM",1964
"259 lb-ft @ 4,800 RPM",1884
"442 lb-ft @ 1,400 RPM",1879
"210 lb-ft @ 1,750 RPM",1848
"114 lb-ft @ 4,000 RPM",1841
"146 lb-ft @ 4,450 RPM",1829
"180 lb-ft @ 4,000 RPM",1781
"261 lb-ft @ 4,400 RPM",1766
"270 lb-ft @ 3,000 RPM",1757
"264 lb-ft @ 5,300 RPM",1691
"250 lb-ft @ 4,000 RPM",1684
"146 lb-ft @ 4,400 RPM",1671
"258 lb-ft @ 1,250 RPM",1641
"280 lb-ft @ 1,600 RPM",1617
"430 lb-ft @ 3,800 RPM",1605
"184 lb-ft @ 1,500 RPM",1575
"470 lb-ft @ 2,500 RPM",1537
"260 lb-ft @ 1,450 RPM",1531
"207 lb-ft @ 1,700 RPM",1526
"470 lb-ft @ 2,250 RPM",1467
"181 lb-ft @ 4,000 RPM",1462
"125 lb-ft @ 3,600 RPM",1431
"278 lb-ft @ 4,400 RPM",1399
"185 lb-ft @ 4,000 RPM",1384
"401 lb-ft @ 3,600 RPM",1364
"113 lb-ft @ 4,600 RPM",1362
"271 lb-ft @ 5,000 RPM",1340
"184 lb-ft @ 1,600 RPM",1333
"273 lb-ft @ 3,500 RPM",1316
"148 lb-ft @ 1,850 RPM",1274
"295 lb-ft @ 1,450 RPM",1261
"306 lb-ft @ 2,000 RPM",1258
"252 lb-ft @ 5,200 RPM",1256
"417 lb-ft @ 4,300 RPM",1255
"182 lb-ft @ 4,400 RPM",1240
"295 lb-ft @ 1,600 RPM",1229
"464 lb-ft @ 4,000 RPM",1219
"128 lb-ft @ 4,300 RPM",1217
"178 lb-ft @ 3,600 RPM",1209
"369 lb-ft @ 1,370 RPM",1169
"373 lb-ft @ 4,200 RPM",1152
"252 lb-ft @ 4,900 RPM",1128
"236 lb-ft @ 1,750 RPM",1112
"325 lb-ft @ 1,400 RPM",1091
"277 lb-ft @ 2,000 RPM",1088
"185 lb-ft @ 5,700 RPM",1079
"223 lb-ft @ 4,300 RPM",1066
"74 lb-ft @ 4,000 RPM",1058
"180 lb-ft @ 3,900 RPM",1054
"235 lb-ft @ 4,000 RPM",1049
"125 lb-ft @ 3,500 RPM",1027
"325 lb-ft @ 2,900 RPM",993
"113 lb-ft @ 4,500 RPM",969
"163 lb-ft @ 4,400 RPM",964
"320 lb-ft @ 2,500 RPM",958
"107 lb-ft @ 4,400 RPM",954
"281 lb-ft @ 4,000 RPM",953
"254 lb-ft @ 4,000 RPM",944
"250 lb-ft @ 4,800 RPM",941
"269 lb-ft @ 1,200 RPM",929
"332 lb-ft @ 3,500 RPM",927
"162 lb-ft @ 4,200 RPM",919
"269 lb-ft @ 1,400 RPM",917
"182 lb-ft @ 3,900 RPM",901
"162 lb-ft @ 2,500 RPM",889
"139 lb-ft @ 3,900 RPM",877
"182 lb-ft @ 4,500 RPM",875
"267 lb-ft @ 4,500 RPM",868
"380 lb-ft @ 3,250 RPM",864
"413 lb-ft @ 4,000 RPM",855
"253 lb-ft @ 4,800 RPM",847
"177 lb-ft @ 4,000 RPM",846
"248 lb-ft @ 5,200 RPM",839
"264 lb-ft @ 4,800 RPM",838
"170 lb-ft @ 4,400 RPM",813
"380 lb-ft @ 2,750 RPM",794
"765 lb-ft @ 1,600 RPM",793
"420 lb-ft @ 4,600 RPM",788
"268 lb-ft @ 4,800 RPM",783
"273 lb-ft @ 1,500 RPM",783
"258 lb-ft @ 2,000 RPM",769
"300 lb-ft @ 1,200 RPM",769
"373 lb-ft @ 4,400 RPM",762
"150 lb-ft @ 4,000 RPM",761
"331 lb-ft @ 1,500 RPM",754
"258 lb-ft @ 4,000 RPM",753
"394 lb-ft @ 4,000 RPM",751
"206 lb-ft @ 1,700 RPM",750
"181 lb-ft @ 4,250 RPM",746
"207 lb-ft @ 1,250 RPM",737
"300 lb-ft @ 1,300 RPM",733
"114 lb-ft @ 4,600 RPM",727
"335 lb-ft @ 4,000 RPM",720
"245 lb-ft @ 4,700 RPM",716
"350 lb-ft @ 1,500 RPM",696
"258 lb-ft @ 1,600 RPM",686
"174 lb-ft @ 1,600 RPM",677
"174 lb-ft @ 3,800 RPM",668
"434 lb-ft @ 4,500 RPM",657
"284 lb-ft @ 5,300 RPM",636
"275 lb-ft @ 4,000 RPM",627
"475 lb-ft @ 4,100 RPM",621
"350 lb-ft @ 3,200 RPM",615
"310 lb-ft @ 2,000 RPM",609
"184 lb-ft @ 4,250 RPM",603
"177 lb-ft @ 4,250 RPM",602
"118 lb-ft @ 4,850 RPM",588
"258 lb-ft @ 1,700 RPM",584
"510 lb-ft @ 3,000 RPM",578
"375 lb-ft @ 3,000 RPM",574
"329 lb-ft @ 3,500 RPM",573
"191 lb-ft @ 4,400 RPM",570
"380 lb-ft @ 3,500 RPM",570
"410 lb-ft @ 4,300 RPM",570
"369 lb-ft @ 1,500 RPM",570
"170 lb-ft @ 4,000 RPM",561
"266 lb-ft @ 4,000 RPM",558
"130 lb-ft @ 4,700 RPM",553
"300 lb-ft @ 2,000 RPM",552
"148 lb-ft @ 5,000 RPM",548
"166 lb-ft @ 4,000 RPM",547
"420 lb-ft @ 2,500 RPM",545
"146 lb-ft @ 2,800 RPM",542
"148 lb-ft @ 2,500 RPM",542
"161 lb-ft @ 4,400 RPM",542
"262 lb-ft @ 5,200 RPM",541
"112 lb-ft @ 5,000 RPM",530
"236 lb-ft @ 2,000 RPM",523
"935 lb-ft @ 1,800 RPM",522
"199 lb-ft @ 1,600 RPM",520
"280 lb-ft @ 4,000 RPM",518
"171 lb-ft @ 4,800 RPM",518
"332 lb-ft @ 1,380 RPM",513
"200 lb-ft @ 1,250 RPM",511
"407 lb-ft @ 3,950 RPM",508
"184 lb-ft @ 5,000 RPM",505
"253 lb-ft @ 4,000 RPM",504
"461 lb-ft @ 2,500 RPM",500
"172 lb-ft @ 4,000 RPM",494
"262 lb-ft @ 4,250 RPM",482
"405 lb-ft @ 2,400 RPM",482
"250 lb-ft @ 1,750 RPM",480
"200 lb-ft @ 2,750 RPM",478
"161 lb-ft @ 4,300 RPM",472
"247 lb-ft @ 4,400 RPM",471
"129 lb-ft @ 4,300 RPM",471
"365 lb-ft @ 3,750 RPM",469
