transmission_display,count
Automatic,240883
Continuously Variable Transmission,97503
6-Speed Automatic,88470
8-Speed Automatic,70921
9-Speed Automatic,35334
6-Speed Automatic Overdrive,17926
7-Speed Automatic,10183
5-Speed Automatic,8956
4-Speed Automatic,7244
6-Speed Manual,4668
Manual,3211
8-Speed Automatic Overdrive,2868
5-Speed Automatic Overdrive,2018
5-Speed Manual,1812
4-Speed Automatic Overdrive,1473
1-Speed Automatic,1462
6-Speed Dual Clutch,1068
9-Speed Automatic Overdrive,1026
8-Speed Dual Clutch,613
7-Speed CVT,502
7-Speed Automatic Overdrive,415
7-Speed Dual Clutch,300
5-Speed Manual Overdrive,159
6-Speed CVT,155
6-Speed Manual Overdrive,154
4-Speed Manual,102
7-Speed Manual,95
1-Speed CVT,95
3-Speed Automatic,92
10-Speed Automatic,79
2-Speed Automatic,76
8-Speed CVT,59
1-Speed Dual Clutch,35
3-Speed Manual,31
4-Speed CVT,5
8-Speed Manual,4
5-Speed Dual Clutch,2
7-Speed Manual Overdrive,1
